epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1885.67,1.0932,0.9999,1.4206,0.63862,0.75056,0.78138,0.48259,1.3623,1.49885,1.83184,0.000792325,0.000792325,0.000792325
55,1920.05,1.08873,0.9936,1.42673,0.74717,0.77732,0.82668,0.48876,1.43824,1.42734,1.91834,0.000775822,0.000775822,0.000775822
56,1954.81,1.06288,0.97056,1.39918,0.72885,0.7897,0.83242,0.50741,1.43331,1.37781,1.90945,0.000759318,0.000759318,0.000759318
57,1989.55,1.09088,0.99034,1.42361,0.73772,0.74127,0.8345,0.5104,1.39923,1.36783,1.88295,0.000742815,0.000742815,0.000742815
58,2024.19,1.09129,0.98146,1.42292,0.84832,0.68609,0.84814,0.4965,1.43266,1.40406,1.8776,0.000726312,0.000726312,0.000726312
59,2058.84,1.05388,0.97512,1.39732,0.80973,0.75113,0.83891,0.50031,1.49762,1.42803,1.92582,0.000709809,0.000709809,0.000709809
60,2093.44,1.03471,0.93478,1.37863,0.76076,0.80178,0.8375,0.53876,1.34493,1.37797,1.8426,0.000693305,0.000693305,0.000693305
61,2128.14,1.01053,0.89703,1.3638,0.73801,0.79223,0.83697,0.52279,1.38095,1.46762,1.87207,0.000676802,0.000676802,0.000676802
62,2162.58,1.00548,0.89734,1.3478,0.77126,0.73316,0.84144,0.52561,1.36179,1.2626,1.84745,0.000660299,0.000660299,0.000660299
63,2197.31,1.01601,0.91317,1.37358,0.8824,0.65907,0.82001,0.5063,1.41335,1.4054,1.91473,0.000643795,0.000643795,0.000643795
64,2231.97,1.02291,0.91448,1.37305,0.72775,0.79645,0.83987,0.50494,1.42911,1.37912,1.86508,0.000627292,0.000627292,0.000627292
65,2266.45,1.00487,0.9161,1.35224,0.76578,0.76154,0.82187,0.53686,1.34921,1.45606,1.84366,0.000610789,0.000610789,0.000610789
66,2301.2,1.02745,0.91272,1.38451,0.78119,0.78238,0.834,0.5146,1.4114,1.46106,1.88987,0.000594286,0.000594286,0.000594286
67,2335.74,0.97813,0.87523,1.33118,0.82248,0.77602,0.86615,0.52004,1.39948,1.33881,1.8644,0.000577782,0.000577782,0.000577782
68,2370.49,0.96147,0.84454,1.31608,0.76633,0.78125,0.84064,0.52651,1.38393,1.36068,1.85731,0.000561279,0.000561279,0.000561279
69,2404.95,0.94466,0.83416,1.32245,0.76645,0.76367,0.85484,0.53301,1.38375,1.34591,1.87975,0.000544776,0.000544776,0.000544776
70,2439.6,0.94794,0.84635,1.3188,0.76108,0.76749,0.83513,0.53008,1.35086,1.36197,1.82642,0.000528272,0.000528272,0.000528272
71,2474.23,0.95416,0.84432,1.32319,0.73459,0.83034,0.83661,0.54161,1.34067,1.26091,1.82796,0.000511769,0.000511769,0.000511769
72,2508.85,0.93161,0.86083,1.31022,0.71201,0.77996,0.82786,0.51879,1.34568,1.45625,1.82249,0.000495266,0.000495266,0.000495266
73,2543.4,0.92479,0.82584,1.30263,0.78737,0.7885,0.86767,0.5487,1.29928,1.42767,1.78946,0.000478762,0.000478762,0.000478762
74,2577.68,0.91417,0.80143,1.29863,0.77728,0.80011,0.86641,0.55581,1.31018,1.4259,1.829,0.000462259,0.000462259,0.000462259
75,2611.95,0.95664,0.82368,1.32633,0.78918,0.77811,0.8727,0.56896,1.28107,1.37116,1.75848,0.000445756,0.000445756,0.000445756
76,2646.25,0.92046,0.80249,1.29475,0.78932,0.8308,0.88435,0.55652,1.30729,1.41367,1.78888,0.000429253,0.000429253,0.000429253
