epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1354.44,0.6699,0.50248,1.11993,0.8899,0.82207,0.89883,0.58095,1.32545,0.75031,1.96487,0.000396246,0.000396246,0.000396246
79,1371.15,0.65686,0.48407,1.09612,0.83185,0.81297,0.87824,0.57839,1.26156,0.84893,1.89526,0.000379743,0.000379743,0.000379743
80,1387.83,0.65961,0.48566,1.11044,0.86395,0.8041,0.87753,0.58514,1.28932,0.81691,1.94378,0.000363239,0.000363239,0.000363239
81,1404.55,0.63584,0.46974,1.09909,0.79269,0.83172,0.87188,0.58199,1.26224,0.91704,1.85902,0.000346736,0.000346736,0.000346736
82,1421.21,0.65302,0.48986,1.1081,0.86927,0.81596,0.87182,0.5865,1.2936,0.87905,1.92434,0.000330233,0.000330233,0.000330233
83,1437.71,0.64131,0.48821,1.10767,0.80139,0.84234,0.85172,0.58263,1.29937,0.84471,1.9679,0.000313729,0.000313729,0.000313729
84,1454.28,0.64034,0.47986,1.10531,0.81846,0.84544,0.89733,0.59085,1.27856,0.88717,1.88375,0.000297226,0.000297226,0.000297226
85,1470.87,0.6355,0.47521,1.11032,0.80836,0.88333,0.9061,0.58543,1.2612,0.81033,1.92826,0.000280723,0.000280723,0.000280723
86,1487.5,0.62305,0.45941,1.10117,0.85418,0.86311,0.90259,0.59732,1.26283,0.81916,1.95151,0.00026422,0.00026422,0.00026422
87,1504.07,0.61913,0.45976,1.09637,0.81121,0.86482,0.8776,0.5921,1.27076,0.90489,1.9327,0.000247716,0.000247716,0.000247716
88,1520.79,0.62023,0.45358,1.10206,0.87386,0.82917,0.90817,0.59846,1.26584,0.75588,1.92255,0.000231213,0.000231213,0.000231213
89,1537.45,0.60469,0.44799,1.09182,0.83357,0.92164,0.92289,0.60892,1.22385,0.76331,1.88343,0.00021471,0.00021471,0.00021471
90,1554.04,0.59386,0.43436,1.07607,0.84503,0.82952,0.88805,0.59364,1.25409,0.88936,1.9552,0.000198206,0.000198206,0.000198206
91,1573.99,0.45745,0.3081,1.01757,0.81109,0.82675,0.86961,0.59512,1.26752,0.87417,1.9805,0.000181703,0.000181703,0.000181703
92,1590.51,0.42905,0.27484,1.00138,0.78687,0.8144,0.86614,0.59437,1.25943,0.91916,1.97217,0.0001652,0.0001652,0.0001652
93,1607.04,0.40388,0.26157,0.97322,0.77846,0.84903,0.87483,0.59385,1.2434,0.95354,1.94963,0.000148696,0.000148696,0.000148696
94,1623.64,0.39887,0.25739,0.97248,0.79569,0.84178,0.86463,0.59722,1.2341,0.90552,1.95384,0.000132193,0.000132193,0.000132193
95,1640.29,0.38682,0.24551,0.97186,0.82942,0.87709,0.89692,0.61316,1.25714,0.92899,1.97378,0.00011569,0.00011569,0.00011569
96,1656.96,0.37697,0.24529,0.95148,0.84473,0.84517,0.87942,0.61368,1.25722,0.85913,1.98641,9.91865e-05,9.91865e-05,9.91865e-05
97,1673.53,0.37384,0.24528,0.96428,0.85556,0.85338,0.89439,0.61201,1.23859,0.88429,1.9652,8.26832e-05,8.26832e-05,8.26832e-05
98,1690.16,0.36321,0.23621,0.94742,0.83255,0.84963,0.89548,0.6154,1.22084,0.88178,1.94486,6.61799e-05,6.61799e-05,6.61799e-05
99,1706.89,0.34928,0.23162,0.94284,0.80223,0.86261,0.89918,0.62325,1.2183,0.87006,1.94656,4.96766e-05,4.96766e-05,4.96766e-05
100,1723.58,0.34472,0.22856,0.93923,0.82458,0.86261,0.9011,0.62154,1.23591,0.86237,1.97207,3.31733e-05,3.31733e-05,3.31733e-05
