epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,771.368,0.66564,0.49269,1.09898,0.87529,0.85894,0.88243,0.52148,1.41659,0.96323,1.96302,0.000797826,0.000797826,0.000797826
81,780.926,0.6472,0.5309,1.10032,0.72,0.7878,0.82509,0.51266,1.40245,1.10889,2.06824,0.000786824,0.000786824,0.000786824
82,790.329,0.62701,0.48824,1.08936,0.87205,0.77205,0.85473,0.525,1.39875,0.97182,2.0127,0.000775822,0.000775822,0.000775822
83,799.881,0.64233,0.48885,1.10257,0.75344,0.85139,0.85556,0.5294,1.36384,0.86786,1.92103,0.00076482,0.00076482,0.00076482
84,809.297,0.61524,0.47562,1.07918,0.76165,0.85925,0.86704,0.5492,1.33188,0.84581,1.89847,0.000753817,0.000753817,0.000753817
85,818.81,0.63036,0.48232,1.09283,0.82626,0.88094,0.92531,0.56455,1.30422,0.87582,1.90175,0.000742815,0.000742815,0.000742815
86,828.529,0.61474,0.47241,1.08782,0.77096,0.90555,0.88807,0.56338,1.31001,0.91122,1.92827,0.000731813,0.000731813,0.000731813
87,838.22,0.61306,0.4651,1.07852,0.79075,0.81053,0.84607,0.51933,1.38141,1.06174,1.96237,0.000720811,0.000720811,0.000720811
88,847.82,0.62386,0.4712,1.09683,0.8505,0.81419,0.86101,0.50927,1.41795,1.01644,2.01126,0.000709809,0.000709809,0.000709809
89,857.444,0.61174,0.46872,1.08549,0.83329,0.79228,0.87532,0.5329,1.32379,0.9764,1.89993,0.000698806,0.000698806,0.000698806
90,866.958,0.60257,0.45062,1.0759,0.85149,0.86686,0.90026,0.55114,1.35122,0.95816,1.97518,0.000687804,0.000687804,0.000687804
91,876.252,0.58783,0.45557,1.05806,0.88337,0.82207,0.89532,0.55106,1.31627,0.90072,1.9372,0.000676802,0.000676802,0.000676802
92,885.884,0.5752,0.43384,1.04574,0.81392,0.82914,0.86599,0.52867,1.35008,0.90533,1.96111,0.0006658,0.0006658,0.0006658
93,895.642,0.59982,0.43804,1.07112,0.8375,0.84544,0.88101,0.52354,1.37076,0.89152,1.93934,0.000654798,0.000654798,0.000654798
94,905.219,0.59846,0.45401,1.07448,0.86868,0.85586,0.89299,0.54952,1.3738,0.91192,1.92821,0.000643795,0.000643795,0.000643795
95,915.166,0.55515,0.42374,1.04349,0.88854,0.79392,0.88699,0.56207,1.3135,0.90122,1.93487,0.000632793,0.000632793,0.000632793
96,925.75,0.57323,0.43857,1.0622,0.81192,0.80953,0.84575,0.54966,1.32982,0.95576,1.90237,0.000621791,0.000621791,0.000621791
97,936.246,0.57292,0.42242,1.0667,0.82977,0.87303,0.88819,0.58179,1.27433,0.90839,1.83331,0.000610789,0.000610789,0.000610789
98,946.894,0.5707,0.44063,1.05297,0.79851,0.84084,0.85105,0.55449,1.35216,0.93083,1.96146,0.000599787,0.000599787,0.000599787
99,957.698,0.58392,0.43716,1.0581,0.80475,0.81148,0.84525,0.52655,1.39381,0.98814,2.05792,0.000588784,0.000588784,0.000588784
100,967.887,0.54131,0.40998,1.03205,0.7774,0.84063,0.84373,0.54784,1.2882,0.96724,1.94201,0.000577782,0.000577782,0.000577782
101,977.972,0.54387,0.40065,1.04273,0.84147,0.83446,0.89825,0.55813,1.33347,0.92607,1.93962,0.00056678,0.00056678,0.00056678
102,987.761,0.54334,0.40392,1.0348,0.80956,0.79711,0.85741,0.52049,1.41512,0.99484,2.0242,0.000555778,0.000555778,0.000555778
103,997.644,0.55356,0.41435,1.05165,0.71161,0.85895,0.84607,0.52189,1.36834,1.00775,1.95469,0.000544776,0.000544776,0.000544776
104,1007.53,0.52996,0.40084,1.02974,0.8644,0.80743,0.87036,0.53177,1.41206,0.9772,2.01429,0.000533773,0.000533773,0.000533773
105,1017.38,0.54994,0.41229,1.05442,0.81891,0.85093,0.86881,0.5311,1.3531,0.9211,1.96535,0.000522771,0.000522771,0.000522771
106,1027.38,0.53767,0.409,1.03659,0.75255,0.86858,0.87625,0.54308,1.36996,1.02907,1.99146,0.000511769,0.000511769,0.000511769
107,1036.9,0.53149,0.40189,1.03271,0.80746,0.87613,0.87725,0.55884,1.33662,0.93274,1.97308,0.000500767,0.000500767,0.000500767
108,1046.25,0.5308,0.39535,1.03497,0.80771,0.84366,0.86629,0.54015,1.346,0.97031,1.95023,0.000489765,0.000489765,0.000489765
109,1055.86,0.52954,0.38911,1.03169,0.87469,0.7835,0.85775,0.52427,1.38631,0.98532,1.9793,0.000478762,0.000478762,0.000478762
110,1065.35,0.51893,0.3729,1.02602,0.75453,0.81152,0.84835,0.54047,1.37472,0.98766,2.00671,0.00046776,0.00046776,0.00046776
111,1075.29,0.51513,0.3849,1.03007,0.85823,0.76323,0.88831,0.54857,1.3783,0.94615,1.95664,0.000456758,0.000456758,0.000456758
112,1084.97,0.49432,0.37488,1.02075,0.82745,0.85613,0.88654,0.53923,1.37635,0.92061,1.99123,0.000445756,0.000445756,0.000445756
113,1094.63,0.49901,0.37444,1.01583,0.88317,0.75957,0.8743,0.53201,1.38994,1.01477,2.00295,0.000434754,0.000434754,0.000434754
114,1104.1,0.49537,0.38363,1.00989,0.86594,0.76014,0.86211,0.51851,1.39964,1.00004,2.04226,0.000423751,0.000423751,0.000423751
115,1113.45,0.49854,0.37535,1.01737,0.80452,0.8902,0.88825,0.54783,1.3138,0.92309,1.92143,0.000412749,0.000412749,0.000412749
116,1122.99,0.49125,0.37203,1.00738,0.77936,0.87979,0.88326,0.56129,1.32521,0.93911,1.94351,0.000401747,0.000401747,0.000401747
117,1132.3,0.50481,0.37992,1.02487,0.89567,0.80124,0.90102,0.5528,1.34472,0.88244,1.98115,0.000390745,0.000390745,0.000390745
118,1142.14,0.49266,0.38224,1.01983,0.75214,0.89361,0.88123,0.54052,1.35622,0.95877,1.96001,0.000379743,0.000379743,0.000379743
